Symbol,Name,Last,Change,%Chg,IV Rank,Options Vol,% Put,% Call,Put/Call Vol,Time
SPY,S&P 500 SPDR,420.04,0.75,+0.18%,0.00%,3494679,60.3%,39.7%,1.5197117963626,05/28/21
QQQ,Nasdaq QQQ Invesco ETF,333.93,1.05,+0.32%,0.00%,806952,57.6%,42.4%,1.3589914492436,05/28/21
IWM,Russell 2000 Ishares ETF,225.5,-0.15000000000001,-0.07%,0.00%,443788,52.8%,47.2%,1.117450593074,05/28/21
EEM,Emerging Markets Ishares MSCI ETF,54.87,0.34999999999999,+0.64%,0.00%,382233,46.0%,54.0%,0.85252337263911,05/28/21
SLV,Silver Trust Ishares,25.9,0.049999999999997,+0.19%,13.46%,279836,19.1%,80.9%,0.23568088385299,05/28/21
EFA,EAFE Ishares MSCI ETF,80.83,0.19,+0.24%,33.87%,231205,66.2%,33.8%,1.9627612542768,05/28/21
XLF,S&P 500 Financials Sector SPDR,37.99,0.07,+0.18%,0.62%,178289,37.3%,62.7%,0.59417192725192,05/28/21
VXX,Ipath.B S&P 500 VIX Short-Term Futures ETN,34.7,0.54000000000001,+1.58%,46.73%,154471,52.5%,47.5%,1.1043088533791,05/28/21
ARKK,Ark Innovation ETF,112.1,-0.18000000000001,-0.16%,19.61%,141213,58.5%,41.5%,1.408791621179,05/28/21
GLD,Gold SPDR,178.38,0.66999999999999,+0.38%,11.62%,128569,29.7%,70.3%,0.42330982719111,05/28/21
EWJ,Japan Ishares MSCI ETF,68.58,0.31,+0.45%,4.84%,126920,49.1%,50.9%,0.96373313528902,05/28/21
SOXL,Semiconductor Bull 3X Direxion,38.78,0.92,+2.43%,1.69%,121553,9.9%,90.1%,0.1103164163835,05/28/21
EWZ,Brazil Ishares MSCI ETF,38.91,0.70999999999999,+1.86%,0.00%,120749,15.0%,85.0%,0.17653535481482,05/28/21
TQQQ,Ultrapro QQQ Proshares,102.59,0.99,+0.97%,0.00%,117714,45.8%,54.2%,0.84345783415551,05/28/21
XLE,S&P 500 Energy Sector SPDR,52.21,0.1,+0.19%,2.68%,102294,28.7%,71.3%,0.40269036159447,05/28/21
HYG,High Yield Corp Bond Ishares Iboxx $ ETF,87.18,-0.029999999999987,-0.03%,2.85%,96164,60.6%,39.4%,1.5375765252269,05/28/21
SQQQ,Ultrapro Short QQQ Proshares,11.07,-0.11,-0.98%,0.00%,86572,15.7%,84.3%,0.18640537207071,05/28/21
GDX,Gold Miners Vaneck ETF,39.42,0.21,+0.54%,0.00%,85050,38.4%,61.6%,0.62451770638347,05/28/21
TLT,20+ Year Treas Bond Ishares ETF,138.44,-0.21,-0.16%,4.69%,84703,59.7%,40.3%,1.4814847366262,05/28/21
XBI,S&P Biotech SPDR,128.1,-0.49000000000001,-0.38%,17.74%,55394,41.3%,58.7%,0.70301595597504,05/28/21
FXI,China Large-Cap Ishares ETF,46.24,-0.16,-0.34%,0.00%,39352,45.3%,54.7%,0.82819976771196,05/28/21
XOP,S&P Oil & Gas Expl & Prod SPDR,89.07,0.029999999999987,+0.03%,0.00%,38029,19.1%,80.9%,0.23599193967759,05/28/21
DIA,Dow Industrials SPDR,345.64,1.04,+0.30%,0.00%,37364,56.6%,43.4%,1.3057081147794,05/28/21
USO,US Oil Fund,45.42,-0.13,-0.29%,6.47%,35062,49.2%,50.8%,0.96690227757209,05/28/21
TNA,Smallcap Bull 3X Direxion,93.39,-0.099999999999994,-0.11%,0.00%,33651,48.7%,51.3%,0.94863628467196,05/28/21
UVXY,Ultra VIX Short-Term Fut Proshares,36.16,0.88999999999999,+2.52%,0.00%,33553,56.9%,43.1%,1.3210431654676,05/28/21
SMH,Semiconductor Vaneck ETF,249.19,2.76,+1.12%,5.57%,33287,47.9%,52.1%,0.9188908745028,05/28/21
LQD,Invst Grade Corp Bond Ishares Iboxx $ ETF,131.71,0.11000000000001,+0.08%,5.36%,28850,72.5%,27.5%,2.6426767676768,05/28/21
MJ,Alternative Harvest ETF,21.58,0.34,+1.60%,1.38%,25337,19.5%,80.5%,0.24243613004462,05/28/21
TBT,Ultrashort 20+ Year Treasury Proshares,20.65,0.07,+0.34%,5.39%,22108,6.2%,93.8%,0.06616512345679,05/28/21
IBB,Nasdaq Biotechnology Ishares ETF,151.95,1.18,+0.78%,7.30%,21764,61.1%,38.9%,1.5710572947431,05/28/21
GDXJ,Junior Gold Miners ETF Vaneck,54.71,0.62,+1.15%,1.82%,20788,17.1%,82.9%,0.20566059621854,05/28/21
KRE,S&P Regional Banking ETF SPDR,70.69,-0.030000000000001,-0.04%,8.62%,18666,80.2%,19.8%,4.0516914749662,05/28/21
ASHR,Db-Xt Harvest CSI 300 China A ETF,42.12,-0.07,-0.17%,11.05%,17250,6.9%,93.1%,0.074498567335244,05/28/21
IEF,7-10 Year Treas Bond Ishares ETF,114.4,-0.01,-0.01%,14.22%,17217,64.9%,35.1%,1.8528583264292,05/28/21
XLY,S&P 500 Cons Disc Sector SPDR,172.84,-0.24000000000001,-0.14%,0.00%,17185,56.5%,43.5%,1.2965388213283,05/28/21
FAS,Financial Bull 3X Direxion,121.75,0.42,+0.35%,7.14%,17149,48.8%,51.2%,0.95407930720146,05/28/21
XLU,S&P 500 Utilities Sector SPDR,65.16,0.34999999999999,+0.54%,34.90%,16626,71.7%,28.3%,2.5344387755102,05/28/21
XLI,S&P 500 Industrial Sector SPDR,105.12,0,0.00%,3.01%,16622,41.9%,58.1%,0.7199917218543,05/28/21
XLV,S&P 500 Healthcare Sector SPDR,123.6,0.47999999999999,+0.39%,10.57%,13705,41.4%,58.6%,0.70545047287208,05/28/21
JETS,US Global Jets ETF,26.85,-0.22,-0.81%,1.74%,13284,27.4%,72.6%,0.3781512605042,05/28/21
XLK,S&P 500 Technology Sector SPDR,138.4,0.49000000000001,+0.36%,0.00%,12917,57.6%,42.4%,1.3601315549059,05/28/21
LABU,S&P Biotech Bull 3X Direxion,63,-0.63,-0.99%,20.89%,11613,40.0%,60.0%,0.66566265060241,05/28/21
XME,S&P Metals & Mining SPDR,46.48,-0.25,-0.53%,21.19%,10797,78.1%,21.9%,3.5595439189189,05/28/21
IWF,Russell 1000 Growth Ishares ETF,256.14,0.88999999999999,+0.35%,0.00%,10249,99.3%,0.7%,139.39726027397,05/28/21
ICLN,Global Clean Energy Ishares ETF,22.92,0.11,+0.48%,0.00%,9018,64.7%,35.3%,1.8296203326012,05/28/21
XLB,S&P 500 Materials Sector SPDR,87.26,-0.089999999999989,-0.10%,15.03%,8741,52.1%,47.9%,1.0886499402628,05/28/21
UNG,US Natural Gas Fund,10.52,0.11,+1.06%,9.79%,8687,38.4%,61.6%,0.62434554973822,05/28/21
ARKG,Ark Genomic Revolution ETF,81.75,0.42,+0.52%,4.89%,8630,57.0%,43.0%,1.3274002157497,05/28/21
UUP,DB US Dollar Index Bullish Fund Invesco,24.22,0.02,+0.08%,8.80%,8253,52.1%,47.9%,1.0861981799798,05/28/21
SPXU,Ultrapro Short S&P 500 Proshares,19.59,-0.1,-0.51%,0.00%,7691,11.5%,88.5%,0.12986631408844,05/28/21
SILJ,Purefunds ISE Junior Silver ETF,17.65,0.13,+0.74%,7.34%,7481,12.5%,87.5%,0.14231180332875,05/28/21
SVXY,VIX Short-Term Fut Short Proshares,51.85,-0.52,-0.99%,25.68%,7456,32.7%,67.3%,0.48644338118022,05/28/21
OIH,Oil Services Vaneck ETF,212.88,-1.23,-0.57%,3.12%,7096,47.5%,52.5%,0.90547798066595,05/28/21
XRT,S&P Retail SPDR,93.36,-1.19,-1.26%,4.60%,7008,61.8%,38.2%,1.6207928197457,05/28/21
TZA,Smallcap Bear 3X Direxion,30.7,0.029999999999998,+0.10%,0.00%,6764,19.8%,80.2%,0.24613117170228,05/28/21
NUGT,Gold Miners Bull 2X Direxion,78.77,0.78,+1.00%,0.13%,6535,41.5%,58.5%,0.70894351464435,05/28/21
