Symbol,Name,Last,Change,%Chg,IV Rank,Options Vol,% Put,% Call,Put/Call Vol,Time
AMC,Amc Entertainment Holdings Inc,26.12,-0.4,-1.51%,46.48%,3588237,48.2%,51.8%,0.92957671496743,05/28/21
AAPL,Apple Inc,124.61,-0.67,-0.53%,0.00%,1073019,39.1%,60.9%,0.64161802841035,05/28/21
TSLA,Tesla Inc,625.22,-5.63,-0.89%,0.00%,1069893,45.1%,54.9%,0.82300901542556,05/28/21
PLTR,Palantir Technologies Inc Cl A,22.95,0.25,+1.10%,4.55%,850450,20.1%,79.9%,0.25137762631859,05/28/21
F,Ford Motor Company,14.53,-0.35,-2.35%,15.74%,846781,23.9%,76.1%,0.31396122889476,05/28/21
SNDL,Sundial Growers Inc,0.97,0.125,+14.79%,10.85%,684628,11.4%,88.6%,0.12860567016257,05/28/21
BB,Blackberry Ltd,10.07,0.1,+1.00%,14.42%,627001,15.2%,84.8%,0.17967981245567,05/28/21
NVDA,Nvidia Corp,649.78,30.26,+4.88%,7.04%,559981,28.6%,71.4%,0.40141347354617,05/28/21
AMD,Adv Micro Devices,80.08,1.66,+2.12%,1.44%,503797,26.0%,74.0%,0.35115846839188,05/28/21
NIO,Nio Inc,38.62,-0.29,-0.75%,1.05%,439466,28.7%,71.3%,0.40219007447019,05/28/21
TLRY,Tilray Inc,16.67,-0.5,-2.91%,15.10%,416049,12.3%,87.7%,0.1396167394365,05/28/21
SPCE,Virgin Galactic Holdings Inc,31.23,0.14,+0.45%,30.08%,364938,24.7%,75.3%,0.32754932774577,05/28/21
SNAP,Snap Inc,62.12,1.05,+1.72%,0.00%,334482,33.8%,66.2%,0.51066328235794,05/28/21
NOK,Nokia Corp,5.16,0.09,+1.78%,6.44%,334437,5.8%,94.2%,0.061522786569921,05/28/21
AMZN,Amazon.com Inc,3223.07,-7.04,-0.22%,0.00%,307310,43.8%,56.2%,0.7789599819389,05/28/21
T,AT&T Inc,29.43,-0.28,-0.94%,11.77%,293090,54.0%,46.0%,1.1758561554851,05/28/21
BYND,Beyond Meat Inc,145.42,2.81,+1.97%,34.73%,272003,32.6%,67.4%,0.48462718256892,05/28/21
PLUG,Plug Power Inc,30.7,0.77,+2.57%,14.61%,262356,27.5%,72.5%,0.37965197911244,05/28/21
GME,Gamestop Corp,222,-32.13,-12.64%,20.47%,241348,39.4%,60.6%,0.65124759682816,05/28/21
FB,Facebook Inc,328.73,-4.02,-1.21%,0.00%,228115,36.3%,63.7%,0.5696130239727,05/28/21
BA,Boeing Company,247.02,-3.68,-1.47%,0.58%,208029,37.3%,62.7%,0.59602430528916,05/28/21
CRM,Salesforce.com Inc,238.1,12.27,+5.43%,4.11%,200707,36.1%,63.9%,0.56386940938133,05/28/21
GE,General Electric Company,14.06,-0.29,-2.02%,5.88%,199564,19.7%,80.3%,0.245142693138,05/28/21
PBR,Petroleo Brasileiro S.A. Petrobras,10.21,0.63,+6.58%,0.39%,194779,10.9%,89.1%,0.12183083178787,05/28/21
AAL,American Airlines Gp,24.24,-0.19,-0.78%,1.53%,191895,18.9%,81.1%,0.23279882820029,05/28/21
BAC,Bank of America Corp,42.39,-0.16,-0.38%,0.00%,191491,34.9%,65.1%,0.53526874478866,05/28/21
MSFT,Microsoft Corp,249.68,0.37,+0.15%,0.00%,179786,36.6%,63.4%,0.57705634161104,05/28/21
RKT,Rocket Companies Inc Cl A,17.71,-0.64,-3.49%,9.29%,176025,14.4%,85.6%,0.16821964719468,05/28/21
NFLX,Netflix Inc,502.81,-1.05,-0.21%,3.39%,166985,42.5%,57.5%,0.74051490514905,05/28/21
